image,type,situation,color,gender,time,category
2-piece-full-suite (1).jpg,Formal,Wedding,Black,Male,Night,2-Piece_Suit
2-piece-full-suite (1).jpg,Formal,Wedding,Black,Male,Morning,2-Piece_Suit
2-piece-full-suite (1).jpg,Formal,Wedding,Black,Male,Evening,2-Piece_Suit
2-piece-full-suite (1).jpg,Formal,Wedding,Black,Male,Noon,2-Piece_Suit
2-piece-full-suite (1).jpg,Formal,Party,Black,Male,Night,2-Piece_Suit
2-piece-full-suite (1).jpg,Formal,Party,Black,Male,Morning,2-Piece_Suit
2-piece-full-suite (1).jpg,Formal,Party,Black,Male,Evening,2-Piece_Suit
2-piece-full-suite (1).jpg,Formal,Work,Black,Male,Morning,2-Piece_Suit
2-piece-full-suite (10).jpg,Formal,Wedding,Red,Male,Evening,2-Piece_Suit
2-piece-full-suite (10).jpg,Formal,Party,Red,Male,Evening,2-Piece_Suit
2-piece-full-suite (11).jpg,Formal,Work,Black,Male,Morning,2-Piece_Suit
2-piece-full-suite (11).jpg,Formal,Work,Black,Male,Evening,2-Piece_Suit
2-piece-full-suite (11).jpg,Formal,Party,Black,Male,Morning,2-Piece_Suit
2-piece-full-suite (11).jpg,Formal,Wedding,Black,Male,Morning,2-Piece_Suit
2-piece-full-suite (11).jpg,Formal,Wedding,Black,Male,Evening,2-Piece_Suit
2-piece-full-suite (12).jpg,Formal,Wedding,Gray,Male,Evening,2-Piece_Suit
2-piece-full-suite (12).jpg,Formal,Wedding,Gray,Male,Morning,2-Piece_Suit
2-piece-full-suite (13).jpg,Formal,Wedding,Black,Male,Morning,2-Piece_Suit
2-piece-full-suite (13).jpg,Formal,Wedding,Black,Male,Evening,2-Piece_Suit
2-piece-full-suite (13).jpg,Formal,Wedding,Black,Male,Night,2-Piece_Suit
2-piece-full-suite (13).jpg,Formal,Work,Black,Male,Morning,2-Piece_Suit
2-piece-full-suite (14).jpg,Formal,Party,Blue,Male,Morning,2-Piece_Suit
2-piece-full-suite (14).jpg,Formal,Party,Blue,Male,Evening,2-Piece_Suit
